"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AC009336.2",-0.0911667404260966,8.29937914639713,-3.25833709697403,0.00127333487935369,0.00490043878569177,-1.61935664567949
"ACMSD",-0.101901899778086,8.11789765003902,-3.24675543661139,0.00132411992153854,0.00506188764668217,-1.62677570069984
"AC125238.2",-0.0434618939108127,8.54257856799131,-3.34835673829525,0.000936069469185893,0.0038070270130849,-1.62780368789774
"CPO",-0.0544191844853757,8.56479448150908,-3.36517969037891,0.000883113917663989,0.00362885934134916,-1.63020262256945
"AC072028.1",0.0530511690974614,8.56184425979872,3.37599246907169,0.000850566511616357,0.00351753929463156,-1.63047491909647
"GADD45A",-0.112119850945049,7.91793767800904,-3.27949297259695,0.001185207662262,0.00462688562777073,-1.63450342880784
"ERO1B",0.03604504818957,8.65755703096374,3.49725997145797,0.00055461140267866,0.00242178747130724,-1.63455059996896
"TNN",-0.0640492023991285,8.51291653063466,-3.32460188232585,0.00101589917993414,0.00408339210516008,-1.6387489095218
"STRN",0.0180269551709935,8.71989899685608,3.59427825066367,0.000390569324788695,0.00179515686981756,-1.6397302791126
"KRTCAP3",0.0310401703706764,8.66223561571272,3.50233128169888,0.000544640281726788,0.00238632959461771,-1.64148762233331
"AC012447.1",-0.0351280706403856,8.65145670997753,-3.46939482338357,0.000612520648808767,0.00263670199157497,-1.64472233228341
"SNRPE",-0.0942332534787463,8.12302794907019,-3.24019440997905,0.00135371753245959,0.00515592416166478,-1.64576961941635
"AC078883.1",0.0236861218422487,8.69823982113689,3.55815216416364,0.000445440297229321,0.0020185725947378,-1.64821847450821
"ACTG1P4",0.0330525671399876,8.65973531907461,3.4961414031812,0.000556833614906712,0.00242943396960568,-1.6486315063822
"AC012507.1",0.0742345788680809,7.88926304147372,3.27771965002222,0.00119237108387225,0.00464781381672652,-1.65027015144484
"MIR7156",-0.0453417929245829,8.59506231144024,-3.38960333397443,0.000811187068399858,0.00337907246505498,-1.65035914487172
"ARPC2",-0.0854930328865328,8.48724593960185,-3.30381148510217,0.00109092279955113,0.00431433196110826,-1.65482549616157
"SH2D5",-0.0395410763149235,8.49940473171587,-3.31108343303496,0.00106411407537439,0.00423428725826059,-1.65846584636074
"TOP2B",0.0928965135704288,8.59980379354279,3.40736508839918,0.000762354848039635,0.00320151787568436,-1.67763956451038
"EMC1",0.0213027944071184,8.68796339153871,3.53197996151881,0.000489627806191538,0.00218156685310368,-1.68044581816878
"AC105940.1",0.0913683966812194,8.19192610837453,3.22817188523111,0.00140955146464146,0.00533270485748664,-1.68185740693821
"CAB39",-0.0866325872916949,8.34877078239462,-3.24697513976799,0.00132313928529092,0.00506188764668217,-1.68290550032294
"AL008733.1",-0.0695664298802549,8.52685920985937,-3.31855965657314,0.00103719237540981,0.00414957415049526,-1.68411145256229
"AL139130.1",0.0865398977584104,8.38683136959493,3.26152449101898,0.00125967910655463,0.00486604131273574,-1.68455336241924
"RPA2",-0.0329063470981039,8.65341401575315,-3.45867812442751,0.000636262672925985,0.00272073516109395,-1.69081458870535
"AC096861.2",0.052166022838496,7.63276293048045,3.35466496392471,0.000915874775849245,0.00374720851986502,-1.69326492567472
"MIR9-1HG",-0.0526235883676252,8.48411110133043,-3.29074624703475,0.0011406737492012,0.00447753889336272,-1.69336395157047
"DEGS1",-0.0321957199133227,8.63460280133461,-3.42873959068169,0.000707231671384095,0.0029870546513741,-1.69440831226794
"AC079305.2",0.0875376756744662,8.54522530161062,3.34532012617862,0.00094593791542626,0.00384110380303403,-1.69891315863372
"RTCA-AS1",0.0218576980624398,8.70452931635503,3.551729106088,0.000455924005228491,0.00205820530319962,-1.70416615971523
"AC011246.1",-0.121199131986089,8.40937429842888,-3.25458113923745,0.00128960294972648,0.00495565008326338,-1.70886668809848
"ARTN",-0.0347436041674453,8.55129897792133,-3.32964428830794,0.000998441713771749,0.0040268508836925,-1.71414901489111
"ZNF142",0.0206649657765616,8.71019021410229,3.55619139402373,0.00044861641863178,0.00203118074704485,-1.71859949856191
"KCMF1",0.033483042475629,7.35425338952383,3.46107946643883,0.000630869008367755,0.00270215238883099,-1.71996361582989
"ABI2",0.0731371368617421,7.68835063018351,3.32321083533038,0.0010207649423106,0.00409656405252589,-1.72668796216662
"AC104781.1",-0.0243072746490809,8.72368613884681,-3.56741935204325,0.000430712623640064,0.00195526848601392,-1.7278064618197
"AL353052.1",-0.0324618489486045,8.69894615342658,-3.52495354888996,0.000502172709544393,0.00222674519614827,-1.72878742917544
"OR10X1",-0.135444009721152,8.21438835040862,-3.21328934873707,0.00148162515838438,0.00555286405653216,-1.73349305799713
"LARS2",0.0688763836910557,7.54876374425092,3.36893855076052,0.000871669952484805,0.00359328692643017,-1.74674872428758
"LINC01389",0.04595342432722,7.63410807840768,3.33700741362957,0.000973450893521605,0.00394350845081769,-1.74845158701991
"CA6",-0.031999718468364,8.61485301763722,-3.38421996528035,0.000826554497746722,0.00343753350393536,-1.76174443037245
"AL118511.4",0.0857273290831767,8.23878129325633,3.20461316871088,0.00152520355076681,0.0056996193560177,-1.76560938798017
"ELAPOR1",0.0870252870785789,7.97288987798417,3.21379723373171,0.00147911027758913,0.00554747032838338,-1.77345883434976
"AL589739.1",-0.131461501107075,8.16341423216457,-3.19531172740773,0.00157323944948779,0.00584206226341241,-1.78469449318717
"AC005041.3",-0.047576425198993,8.41210083007485,-3.23100303181653,0.00139621430308456,0.00529043141881491,-1.7868122584136
"RCC1",-0.0794133468829213,7.61783683166192,-3.33565817426067,0.000977986229968663,0.00395566665721443,-1.78702790487929
